sample_idx,frame_idx,timestamp_sec,valid,message,tx,ty,tz,rx_deg,ry_deg,rz_deg,scale,pose_tx,pose_ty,pose_tz,pose_rx,pose_ry,pose_rz,pose_scale
0,0,0.0,True,OK,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0
1,15,0.5000437997724687,True,OK,-2.1563614280295518e-07,0.008157405459930323,-0.008102483249366743,0.3431163026896816,-2.006693447815467,0.19736764225424805,0.9996351285859464,-2.1563614280295518e-07,0.008157405459930323,-0.008102483249366743,0.005988509199204419,-0.035023407742576916,0.0034447151942349117,0.9996351285859464
2,30,1.0000875995449374,True,OK,-0.003663032715825021,-0.00790478499084965,0.037240366251997836,5.30472580129977,-2.0312634660301856,0.09281091799565716,1.0091032131174964,-0.003663032715825021,-0.00790478499084965,0.037240366251997836,0.09258493114817548,-0.03545223545769873,0.0016198561008226736,1.0091032131174964
3,45,1.5001313993174061,True,OK,0.016003742825626138,-0.0031943353051229334,-0.0011166125980070496,-60.89559493007339,16.960314378414136,170.74028152250222,0.9620475748335268,0.016003742825626138,-0.0031943353051229334,-0.0011166125980070496,-1.0628286314905468,0.29601332807666214,2.9799800783497004,0.9620475748335268
4,60,2.000175199089875,True,OK,-0.011382582909869918,-0.026951771731864207,0.03154111953765304,-63.52149533067321,10.720103306476576,173.26438753988083,0.967710962771559,-0.011382582909869918,-0.026951771731864207,0.03154111953765304,-1.1086592393104517,0.187101098851947,3.024034039022358,0.967710962771559
5,75,2.5002189988623433,True,OK,0.03896886222243412,-0.008344558115728123,-0.005003045148747831,163.73378033128384,-31.503301573255865,68.17180839820696,0.9732044181376703,0.03896886222243412,-0.008344558115728123,-0.005003045148747831,2.8576935635180347,-0.5498363377020244,1.1898225135874332,0.9732044181376703
6,90,3.0002627986348123,True,OK,0.03612872526633108,-0.03206963741884597,0.05370105952011173,-46.04294491044041,-59.35769360170693,-148.8945371164224,1.0366094077489347,0.03612872526633108,-0.03206963741884597,0.05370105952011173,-0.8036009860015508,-1.0359871897397575,-2.598699910914475,1.0366094077489347
7,105,3.5003065984072808,True,OK,0.007045079793119056,0.03387317709920043,-0.012234293855040379,-2.5358067123921346,-1.879583265109289,1.395891448923068,1.0081564244983015,0.007045079793119056,0.03387317709920043,-0.012234293855040379,-0.04425817632541564,-0.03280491654154255,0.024362901784141792,1.0081564244983015
8,120,4.00035039817975,True,OK,0.003726322318472324,0.023554606555730703,0.012645364611116983,-2.429707934562062,1.8570165770051292,2.2430668430146024,1.0021955222994947,0.003726322318472324,0.023554606555730703,0.012645364611116983,-0.04240640331993891,0.032411053532854325,0.03914890175291958,1.0021955222994947
9,135,4.500394197952218,True,OK,-0.03118052438579848,-0.03945437938987793,0.0038647768626529633,5.17651150312462,-5.912517692138878,-5.640443229478273,1.0023671060460604,-0.03118052438579848,-0.03945437938987793,0.0038647768626529633,0.09034716949688536,-0.10319290081023988,-0.09844430562621795,1.0023671060460604
10,150,5.000437997724687,True,OK,-0.013133107840443137,-0.002278048305528191,0.018950005225394362,-3.182099128396255,3.715255119851278,4.71168019387121,1.0137640277765896,-0.013133107840443137,-0.002278048305528191,0.018950005225394362,-0.05553810691535643,0.06484343439298135,0.08223433268405736,1.0137640277765896
11,165,5.500481797497156,True,OK,-0.006999267656692003,0.04533567262472822,0.006016562013204441,124.9027081056143,-63.7027998577994,77.70056975802174,1.0051493811116705,-0.006999267656692003,0.04533567262472822,0.006016562013204441,2.179963501100379,-1.111823600257575,1.3561307729530132,1.0051493811116705
