sample_idx,frame_idx,timestamp_sec,valid,message,tx,ty,tz,rx_deg,ry_deg,rz_deg,scale,pose_tx,pose_ty,pose_tz,pose_rx,pose_ry,pose_rz,pose_scale
0,0,0.0,True,OK,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0
1,15,0.5000437997724687,True,OK,-0.0007991120214508596,0.007436424039463971,-0.007200199894513093,0.5824410218515067,-2.3183080463335375,-0.005772433580857387,1.0008818165400977,-0.0007991120214508596,0.007436424039463971,-0.007200199894513093,0.010165513529989031,-0.040462108483997485,-0.00010074797183864773,1.0008818165400977
2,30,1.0000875995449374,True,OK,-0.003724624262024648,-0.00948017706049889,0.03361207936067878,5.655563267305604,-2.59020362369101,-0.10265513930780285,1.0062111052488372,-0.003724624262024648,-0.00948017706049889,0.03361207936067878,0.09870820006933097,-0.045207581530496324,-0.0017916701750146124,1.0062111052488372
3,45,1.5001313993174061,True,OK,0.018202812854098263,-0.007360080103642863,-0.002227068186109793,-6.81264976710346,14.052731079810222,5.807287203448428,0.9546240432457674,0.018202812854098263,-0.007360080103642863,-0.002227068186109793,-0.11890316922118026,0.24526642624002643,0.10135628230910887,0.9546240432457674
4,60,2.000175199089875,True,OK,-0.011458627989984177,-0.029901499825208233,0.033361377932126235,9.96596309212907,-6.751549626049602,-3.603393130024678,0.9565828642959875,-0.011458627989984177,-0.029901499825208233,0.033361377932126235,0.17393886908988723,-0.11783677058635747,-0.06289107436267477,0.9565828642959875
5,75,2.5002189988623433,True,OK,0.03956473634717397,-0.018227029473331602,-0.00554859516022832,116.47245829184547,-2.577082644418925,-98.65793577402307,0.9590761694687021,0.03956473634717397,-0.018227029473331602,-0.00554859516022832,2.032827885084474,-0.04497857724111251,-1.7219058124778028,0.9590761694687021
6,90,3.0002627986348123,True,OK,0.04050900046538684,-0.03321566390485753,0.052431490153078686,-8.810076544113143,31.25169400057738,18.652485632007185,1.0088963001719695,0.04050900046538684,-0.03321566390485753,0.052431490153078686,-0.1537648430474978,0.545444957135834,0.3255472879594608,1.0088963001719695
7,105,3.5003065984072808,True,OK,-0.0018673655719261065,0.03132367558855148,-0.018152969988844414,0.5026809615513655,-6.705731003901477,-3.421428600854435,0.9744899263402821,-0.0018673655719261065,0.03132367558855148,-0.018152969988844414,0.008773437866162352,-0.11703708477114548,-0.05971519420681276,0.9744899263402821
8,120,4.00035039817975,True,OK,0.004705322936275262,0.025676135017674545,0.014659462368324605,-1.4344899169374965,1.625096548447226,2.1535023557345596,0.9654294699836334,0.004705322936275262,0.025676135017674545,0.014659462368324605,-0.025036572137219288,0.028363285433199634,0.03758570655702226,0.9654294699836334
9,135,4.500394197952218,True,OK,-0.035753511535630236,-0.03776675904725749,0.004150687238403172,4.4995569994838815,-4.5989382924929885,-3.8315799230336487,0.9599265779064594,-0.035753511535630236,-0.03776675904725749,0.004150687238403172,0.07853208452215053,-0.08026661530004867,-0.06687368521024808,0.9599265779064594
10,150,5.000437997724687,True,OK,-0.014042875737167303,-0.0007830085807902787,0.02050670081160466,-1.375170261200597,3.159522244462522,5.3409105995221715,0.970738426720522,-0.014042875737167303,-0.0007830085807902787,0.02050670081160466,-0.024001248833460845,0.055144065955872186,0.09321647501632617,0.970738426720522
11,165,5.500481797497156,True,OK,-0.008979065021107117,0.05282633627699965,0.0031865659272187763,127.20949875453385,-64.30858121271832,76.30557643703015,0.9595682802228105,-0.008979065021107117,0.05282633627699965,0.0031865659272187763,2.2202245930782416,-1.1223964794481027,1.3317835464583798,0.9595682802228105
12,180,6.0005255972696245,True,OK,-0.016261880137644277,0.007649442288718611,0.022461292885188833,131.4318829473979,-49.47330545894259,88.2037429385447,0.9733919312787178,-0.016261880137644277,0.007649442288718611,0.022461292885188833,2.2939190995278826,-0.8634720721034325,1.5394457268603035,0.9733919312787178
13,195,6.500569397042093,True,OK,-0.03186533008487777,-0.029920491098747837,0.05167676941025867,144.4182107835987,-35.10116198344639,98.30367417744763,1.032159109160414,-0.03186533008487777,-0.029920491098747837,0.05167676941025867,2.5205732780129773,-0.6126308478870028,1.7157227812041895,1.032159109160414
14,210,7.0006131968145615,True,OK,-0.016883336073915484,0.03325122323875329,0.005294540124462843,-4.79927989404784,-3.8220158960802837,0.7099985636637282,1.0657276663401563,-0.016883336073915484,0.03325122323875329,0.005294540124462843,-0.08376323587589941,-0.06670676145016238,0.01239181262036263,1.0657276663401563
15,225,7.50065699658703,True,OK,-0.003950531263314627,-0.01050250250472995,0.02096914243394843,162.66845431464353,-34.65750001759211,102.13609639173177,1.0733541206969133,-0.003950531263314627,-0.01050250250472995,0.02096914243394843,2.8391001169205055,-0.604887485816975,1.7826111671700196,1.0733541206969133
16,240,8.0007007963595,True,OK,0.0934495267485132,-0.02720252881312485,0.017222806466272944,3.661310498587693,10.732587002254084,-2.5690292482733383,1.1483471492959996,0.0934495267485132,-0.02720252881312485,0.017222806466272944,0.06390192313819044,0.18731898044608183,-0.0448380189624046,1.1483471492959996
17,255,8.500744596131968,True,OK,-0.018150341942327723,-0.04749507726252228,0.004615505315869739,-13.23091027248635,-1.6735595487968247,-4.273515375961842,1.2402989059230933,-0.018150341942327723,-0.04749507726252228,0.004615505315869739,-0.2309229472908269,-0.029209124354695297,-0.07458691394513747,1.2402989059230933
18,270,9.000788395904436,True,OK,0.0011455246701242427,-0.047683457938593965,-0.029978151992632207,-5.602296699714249,8.922657912614998,0.02381283346784047,1.2544660299379138,0.0011455246701242427,-0.047683457938593965,-0.029978151992632207,-0.09777852308362571,0.1557297586042562,0.0004156123482429154,1.2544660299379138
19,285,9.500832195676905,True,OK,-0.008918180527219433,-0.10013754744892472,-0.0023636337299050014,17.455273733342636,23.114549249225647,4.312426862961902,1.1607000574602504,-0.008918180527219433,-0.10013754744892472,-0.0023636337299050014,0.3046519984837117,0.40342498951337086,0.0752660475101355,1.1607000574602504
20,300,10.000875995449373,True,OK,-0.04980628795147461,-0.1179856810908167,0.035180568230280596,9.92022142800104,8.607822017867967,-1.075561399849123,1.1784383149835669,-0.04980628795147461,-0.1179856810908167,0.035180568230280596,0.17314052644551176,0.15023483563745818,-0.018772087734726436,1.1784383149835669
21,315,10.500919795221842,True,OK,-0.0728801785106276,0.22048606148445915,-0.057248539225792094,3.5539439353580833,11.51066173632011,-0.9610800439548788,1.1275924143652039,-0.0728801785106276,0.22048606148445915,-0.057248539225792094,0.06202802310328307,0.20089894638211328,-0.01677401114222446,1.1275924143652039
22,330,11.000963594994312,True,OK,0.07872894803805769,0.18697944526573274,-0.008764685979219644,9.698460187335902,4.964305912119408,-9.61439231101207,1.1554153689066455,0.07872894803805769,0.18697944526573274,-0.008764685979219644,0.16927006264259756,0.08664348324270395,-0.1678028014055873,1.1554153689066455
23,345,11.50100739476678,True,OK,0.03562796644798798,-0.05999174853368369,0.02658593164447165,2.204441837539879,-4.066131854322069,5.326219636332957,1.2530086381117613,0.03562796644798798,-0.05999174853368369,0.02658593164447165,0.038474768233784824,-0.07096738867814252,0.0929600693383851,1.2530086381117613
